ngành,Thường & Gấp,Premium & Gấp,Diff,Diff %
An toàn lao động,15812578.125,20500000.0,4687421.875,29.643628242943464
Bán hàng / Kinh doanh,18354627.659574468,19788461.53846154,1433833.8788870722,7.811838548188311
Bưu chính viễn thông,15000000.0,15833333.333333334,833333.333333334,5.55555555555556
Bảo hiểm,28500000.0,50000000.0,21500000.0,75.43859649122807
Bảo trì / Sửa chữa,13906818.181818182,15625000.0,1718181.8181818184,12.354959960777906
Bất động sản,20043902.43902439,25357142.85714286,5313240.418118469,26.50801376768767
Công nghệ sinh học,10500000.0,13500000.0,3000000.0,28.57142857142857
Dược phẩm/ Hóa Mỹ Phẩm,20500000.0,38750000.0,18250000.0,89.02439024390245
Hàng hải,6500000.0,8750000.0,2250000.0,34.61538461538461
Hàng không,2400.0,14500000.0,14497600.0,604066.6666666667
Hóa học,14625000.0,17333333.333333332,2708333.333333332,18.51851851851851
Lao động phổ thông,7833333.333333333,16000000.0,8166666.666666667,104.25531914893618
Môi trường,16464285.714285715,16750000.0,285714.28571428545,1.7353579175704972
Mỹ thuật / Nghệ thuật / Thiết kế,18344827.586206898,18625000.0,280172.4137931019,1.5272556390977359
Ngành khác,18125000.0,25166666.666666668,7041666.666666668,38.850574712643684
Nội ngoại thất,18625000.0,20900000.0,2275000.0,12.21476510067114
Thương mại điện tử,17153846.153846152,27000000.0,9846153.846153848,57.39910313901346
Thống kê,13357142.857142856,15666666.666666666,2309523.8095238097,17.290552584670234
Thủy lợi,15000000.0,31500000.0,16500000.0,110.00000000000001
Tiếp thị trực tuyến,17437500.0,20000000.0,2562500.0,14.695340501792115
Xuất nhập khẩu,13692375.0,19708333.333333332,6015958.333333332,43.93655836429642
Điện / Điện tử / Điện lạnh / Điện công nghiệp,17150505.05050505,18968765.625,1818260.5744949505,10.601790262971912
