ngành,Thường & Gấp,Premium & Gấp,Diff,Diff %,Count Thường,Count Premium
An toàn lao động,15091022.727272727,20500000.0,5408977.272727273,35.84235058470946,11.0,1.0
Bảo hiểm,28500000.0,50000000.0,21500000.0,75.43859649122807,4.0,1.0
Bảo trì / Sửa chữa,14493548.387096774,15700000.0,1206451.6129032262,8.324059648341867,31.0,5.0
Công nghệ sinh học,10500000.0,13500000.0,3000000.0,28.57142857142857,1.0,1.0
Dược phẩm/ Hóa Mỹ Phẩm,21035714.285714287,38750000.0,17714285.714285713,84.21052631578945,14.0,2.0
Lao động phổ thông,12833333.333333334,16000000.0,3166666.666666666,24.67532467532467,3.0,1.0
Mỹ thuật / Nghệ thuật / Thiết kế,18057692.307692308,18625000.0,567307.692307692,3.141640042598507,26.0,4.0
Ngành khác,20000000.0,25166666.666666668,5166666.666666668,25.833333333333343,3.0,3.0
Nội ngoại thất,18196428.57142857,21875000.0,3678571.428571429,20.21589793915604,28.0,4.0
Thương mại điện tử,17708333.333333332,27000000.0,9291666.666666668,52.47058823529412,12.0,3.0
Thống kê,14600000.0,15666666.666666666,1066666.666666666,7.305936073059356,5.0,3.0
Tiếp thị trực tuyến,18178571.42857143,20000000.0,1821428.571428571,10.019646365422394,14.0,1.0
Trắc địa / Địa Chất,13500000.0,17000000.0,3500000.0,25.925925925925924,1.0,1.0
Xuất nhập khẩu,14090988.636363637,19875000.0,5784011.363636363,41.04759086037417,22.0,4.0
Điện / Điện tử / Điện lạnh / Điện công nghiệp,17744444.444444444,18818204.545454547,1073760.1010101028,6.051246655661193,81.0,11.0
